1SteelersPatriots
1LionsFalcons
149ersRams
1GiantsChiefs
1ChargersRaiders
1ColtsBrowns
1PanthersBills
1CardinalsJaguars
1SeahawksRedskins
1RavensBears
1BroncosJets
1DolphinsBucs
1TitansTexans
1CowboysEagles
1VikingsSaints
2LionsCardinals
2BearsBrowns
2EaglesGiants
2JetsFalcons
2SteelersVikings
2BillsRaiders
2BucsPanthers
2RedskinsBroncos
2DolphinsPatriots
2RavensColts
2ChargersChiefs
2TitansBengals
2CowboysPackers
2RamsSeahawks
3BucsJets
3TitansRavens
3PanthersDolphins
3BroncosGiants
3LionsSteelers
3RaidersCowboys
3BengalsColts
3CardinalsRams
3SaintsPatriots
3ChargersRedskins
3VikingsBears
349ersJaguars
3FalconsBills
3TexansBrowns
3PackersSeahawks
3ChiefsEagles
12ColtsJaguars
12DolphinsTitans
12GiantsRams
12JetsPanthers
12Bears49ers
12BucsPatriots
12SaintsLions
12RedskinsCardinals
12BroncosCowboys
12SeahawksFalcons
12BrownsVikings
12RaidersRavens
12SteelersPackers
12BengalsTexans
12ChargersEagles
14BucsLions
14CowboysSeahawks
14TitansColts
14TexansCardinals
14BengalsBears
14Rams49ers
14RedskinsGiants
14PackersRavens
14JetsJaguars
14DolphinsRaiders
14ChiefsSteelers
14PatriotsBills
14PanthersEagles
14SaintsFalcons
14ChargersBroncos
15SeahawksCardinals
15BucsGiants
15SaintsBears
15SteelersBrowns
15ColtsTitans
15BillsDolphins
15EaglesRaiders
15JaguarsChargers
15PatriotsJets
15PanthersPackers
15ChiefsRedskins
15FalconsVikings
15BroncosBengals
15Texans49ers
15RavensLions
16SeahawksTexans
16FalconsPanthers
16JetsDolphins
16ColtsBroncos
16PatriotsChargers
16BengalsBills
1649ersGiants
16EaglesCardinals
16TitansRams
16LionsVikings
16RedskinsRaiders
16RavensSteelers
16BucsBears
16BrownsJaguars
16CowboysChiefs
16PackersSaints
17DolphinsBills
17JetsPatriots
17BengalsSteelers
17BrownsRavens
17ColtsTexans
17JaguarsTitans
17ChiefsChargers
17BroncosRaiders
17GiantsRedskins
17EaglesCowboys
17VikingsLions
17BearsPackers
17BucsSaints
17PanthersFalcons
17SeahawksRams
1749ersCardinals
